Instrument,Implied Volatility,Strike Price,Expiry Date,BID,ASK,CF_LAST,PUTCALLIND
NVDAB062617750.U,53.1157,177.5,2026-02-06,2.14,2.16,2.15,CALL
NVDAC202622000.U,45.7967,220.0,2026-03-20,1.26,1.28,1.28,CALL
NVDAN202616000.U,51.7686,160.0,2026-02-20,1.88,1.9,1.88,PUT 
NVDAB062617250.U,57.1795,172.5,2026-02-06,5.0,5.05,5.11,CALL
NVDAO202616500.U,50.4298,165.0,2026-03-20,7.1,7.15,7.17,PUT 
NVDAO202620000.U,45.2055,200.0,2026-03-20,27.25,27.45,27.75,PUT 
NVDAB062618250.U,48.6941,182.5,2026-02-06,0.64,0.66,0.65,CALL
NVDAC202617000.U,50.1516,170.0,2026-03-20,15.4,15.5,15.65,CALL
NVDAO202621000.U,41.3531,210.0,2026-03-20,35.7,35.9,36.38,PUT 
NVDAN062618750.U,45.9951,187.5,2026-02-06,11.95,12.05,11.85,PUT 
NVDAC202616500.U,51.1111,165.0,2026-03-20,18.55,18.6,18.7,CALL
NVDAO202619500.U,45.6414,195.0,2026-03-20,23.4,23.6,25.64,PUT 
NVDAB062618750.U,46.2972,187.5,2026-02-06,0.16,0.17,0.17,CALL
NVDAN202616750.U,48.154,167.5,2026-02-20,3.5,3.55,3.52,PUT 
NVDAB202616750.U,48.7791,167.5,2026-02-20,11.9,12.0,11.79,CALL
NVDAN202616500.U,49.5494,165.0,2026-02-20,2.85,2.88,2.85,PUT 
NVDAB202622000.U,43.3144,220.0,2026-02-20,0.09,0.1,0.09,CALL
NVDAE152619000.U,44.938,190.0,2026-05-15,11.55,11.65,11.51,CALL
NVDAB202616500.U,50.1302,165.0,2026-02-20,13.7,13.8,13.75,CALL
NVDAN062619250.U,46.0083,192.5,2026-02-06,16.9,17.0,17.0,PUT 
NVDAB062619250.U,46.4264,192.5,2026-02-06,0.06,0.07,0.06,CALL
NVDAQ152616000.U,47.4432,160.0,2026-05-15,9.35,9.45,9.4,PUT 
NVDAQ152619000.U,44.0796,190.0,2026-05-15,24.0,24.15,25.0,PUT 
NVDAB202616000.U,52.6617,160.0,2026-02-20,17.75,17.85,17.86,CALL
NVDAN202615000.U,58.0368,150.0,2026-02-20,0.81,0.83,0.8,PUT 
NVDAC202623000.U,46.395,230.0,2026-03-20,0.74,0.76,0.76,CALL
NVDAE152616000.U,48.3602,160.0,2026-05-15,26.75,26.85,26.82,CALL
NVDAB202619750.U,39.3703,197.5,2026-02-20,0.62,0.64,0.64,CALL
NVDAE152621000.U,43.8446,210.0,2026-05-15,5.95,6.05,5.97,CALL
NVDAQ152617000.U,46.1453,170.0,2026-05-15,13.2,13.3,13.18,PUT 
NVDAN202615500.U,54.5015,155.0,2026-02-20,1.23,1.25,1.25,PUT 
NVDAN202620000.U,39.0087,200.0,2026-02-20,24.6,24.75,24.5,PUT 
NVDAN202619750.U,38.8245,197.5,2026-02-20,22.2,22.35,23.3,PUT 
NVDAO202615000.U,54.2576,150.0,2026-03-20,3.2,3.3,3.25,PUT 
NVDAQ152619500.U,43.7982,195.0,2026-05-15,27.3,27.45,28.0,PUT 
NVDAE152619500.U,44.6629,195.0,2026-05-15,9.85,9.95,9.9,CALL
NVDAE152620000.U,44.1418,200.0,2026-05-15,8.35,8.45,8.3,CALL
NVDAQ152621000.U,42.9474,210.0,2026-05-15,38.5,38.7,41.34,PUT 
NVDAQ152618500.U,44.4148,185.0,2026-05-15,20.9,21.05,21.06,PUT 
NVDAQ152616500.U,46.7459,165.0,2026-05-15,11.15,11.25,11.65,PUT 
NVDAE152617000.U,46.9766,170.0,2026-05-15,20.7,20.8,20.85,CALL
NVDAE152618000.U,46.1145,180.0,2026-05-15,15.65,15.75,15.53,CALL
NVDAO202622000.U,44.4387,220.0,2026-03-20,44.9,45.1,46.25,PUT 
NVDAO202615500.U,53.1753,155.0,2026-03-20,4.25,4.3,4.25,PUT 
NVDAQ152617500.U,45.3452,175.0,2026-05-15,15.5,15.65,15.66,PUT 
NVDAE152616500.U,47.6545,165.0,2026-05-15,23.6,23.7,23.55,CALL
NVDAE152617500.U,46.1265,175.0,2026-05-15,18.05,18.15,18.2,CALL
NVDAQ152618000.U,45.2543,180.0,2026-05-15,18.05,18.2,18.55,PUT 
NVDAN202621000.U,44.9305,210.0,2026-02-20,34.35,34.5,35.04,PUT 
NVDAQ152620000.U,43.3051,200.0,2026-05-15,30.8,31.0,32.69,PUT 
NVDAE152618500.U,45.2019,185.0,2026-05-15,13.45,13.55,13.49,CALL
NVDAN202614500.U,61.144,145.0,2026-02-20,0.55,0.57,0.61,PUT 
NVDAO202614500.U,55.9785,145.0,2026-03-20,2.43,2.46,2.4,PUT 
NVDAN202614000.U,64.9963,140.0,2026-02-20,0.39,0.4,0.38,PUT 
NVDAC202615500.U,57.0164,155.0,2026-03-20,25.6,25.8,25.76,CALL
NVDAB202615500.U,47.9183,155.0,2026-02-20,22.05,22.2,21.38,CALL
NVDAN062616750.U,61.2282,167.5,2026-02-06,0.78,0.79,0.77,PUT 
NVDAC202615000.U,55.2186,150.0,2026-03-20,29.6,29.75,29.6,CALL
NVDAA152716000.U,48.9622,160.0,2027-01-15,42.25,42.55,42.41,CALL
NVDAO202614000.U,57.3026,140.0,2026-03-20,1.8,1.82,1.89,PUT 
NVDAE152622000.U,43.9197,220.0,2026-05-15,4.25,4.3,4.25,CALL
NVDAA152720000.U,46.8175,200.0,2027-01-15,24.9,25.1,25.15,CALL
NVDAB202614500.U,60.8999,145.0,2026-02-20,31.35,31.5,31.23,CALL
NVDAB202615000.U,55.1894,150.0,2026-02-20,26.65,26.8,26.28,CALL
NVDAA152718000.U,47.9081,180.0,2027-01-15,32.6,32.8,32.7,CALL
NVDAF182618100.U,47.1718,181.0,2026-06-18,18.55,18.65,18.15,CALL
NVDAO202611000.U,71.2999,110.0,2026-03-20,0.31,0.33,0.33,PUT 
NVDAB062616750.U,61.793,167.5,2026-02-06,8.9,8.95,9.0,CALL
NVDAR182618100.U,46.0942,181.0,2026-06-18,21.35,21.45,19.6,PUT 
NVDAO202613500.U,59.2917,135.0,2026-03-20,1.33,1.35,1.36,PUT 
NVDAB202620250.U,39.2091,202.5,2026-02-20,0.36,0.37,0.36,CALL
NVDAF182618300.U,46.8272,183.0,2026-06-18,17.7,17.8,17.8,CALL
NVDAQ152622000.U,43.2149,220.0,2026-05-15,46.5,47.2,47.9,PUT 
NVDAB062619750.U,49.0467,197.5,2026-02-06,0.03,0.04,0.04,CALL
NVDAN062619750.U,48.6917,197.5,2026-02-06,21.9,22.0,22.83,PUT 
NVDAN202620250.U,46.2764,202.5,2026-02-20,27.0,27.15,28.6,PUT 
NVDAN202622000.U,44.9907,220.0,2026-02-20,44.4,44.5,46.47,PUT 
NVDAC202624000.U,47.6048,240.0,2026-03-20,0.46,0.47,0.47,CALL
NVDAF182619000.U,46.1671,190.0,2026-06-18,14.85,15.0,14.85,CALL
NVDAQ152615500.U,48.5108,155.0,2026-05-15,7.75,7.85,8.55,PUT 
NVDAN202613500.U,69.1069,135.0,2026-02-20,0.28,0.29,0.29,PUT 
NVDAF182618400.U,46.7144,184.0,2026-06-18,17.25,17.35,17.45,CALL
NVDAR182618300.U,45.799,183.0,2026-06-18,22.45,22.6,24.5,PUT 
NVDAR182619000.U,45.1607,190.0,2026-06-18,26.6,26.75,27.08,PUT 
NVDAR182618400.U,45.6522,184.0,2026-06-18,23.0,23.15,21.95,PUT 
NVDAE152615500.U,49.7405,155.0,2026-05-15,30.1,30.25,30.35,CALL
NVDAB202620500.U,39.5175,205.0,2026-02-20,0.28,0.29,0.28,CALL
NVDAR182618200.U,45.9467,182.0,2026-06-18,21.9,22.05,22.75,PUT 
NVDAN202620500.U,43.278,205.0,2026-02-20,29.45,29.6,30.9,PUT 
NVDAF182618200.U,47.0569,182.0,2026-06-18,18.1,18.25,16.65,CALL
NVDAH212619000.U,45.7365,190.0,2026-08-21,19.25,19.4,19.0,CALL
NVDAN202612500.U,77.4489,125.0,2026-02-20,0.14,0.15,0.16,PUT 
NVDAF182618000.U,47.3788,180.0,2026-06-18,19.05,19.15,19.25,CALL
NVDAC202614500.U,57.1977,145.0,2026-03-20,33.8,33.9,33.95,CALL
NVDAB202623000.U,46.9686,230.0,2026-02-20,0.05,0.06,0.05,CALL
NVDAA302609000.U,851.3641,90.0,2026-01-30,,,,CALL
NVDAG172619000.U,45.6263,190.0,2026-07-17,16.8,16.9,16.96,CALL
NVDAT212619000.U,44.5033,190.0,2026-08-21,29.8,29.95,30.8,PUT 
NVDAS172619000.U,44.639,190.0,2026-07-17,28.05,28.2,28.3,PUT 
NVDAA152719000.U,46.9845,190.0,2027-01-15,28.5,28.7,28.75,CALL
NVDAN202613000.U,73.8336,130.0,2026-02-20,0.2,0.21,0.22,PUT 
NVDAO202608000.U,92.1769,80.0,2026-03-20,0.07,0.08,0.09,PUT 
NVDAI182619000.U,46.3661,190.0,2026-09-18,21.4,21.55,21.37,CALL
NVDAA302611000.U,650.8231,110.0,2026-01-30,,,,CALL
NVDAM302607500.U,707.841,75.0,2026-01-30,,,,PUT
NVDAM152719000.U,45.2158,190.0,2027-01-15,36.35,36.6,36.85,PUT 
NVDAN202612000.U,82.7811,120.0,2026-02-20,0.1,0.11,0.11,PUT 
NVDAM152716000.U,47.0058,160.0,2027-01-15,20.75,20.95,20.8,PUT 
NVDAB202613500.U,54.2302,135.0,2026-02-20,41.05,41.2,38.25,CALL
NVDAR182618500.U,45.5624,185.0,2026-06-18,23.6,23.75,23.72,PUT 
NVDAC202625000.U,48.4683,250.0,2026-03-20,0.3,0.31,0.31,CALL
NVDAF182618500.U,46.6024,185.0,2026-06-18,16.85,17.0,16.95,CALL
NVDAR182618600.U,45.4155,186.0,2026-06-18,24.2,24.35,24.05,PUT 
NVDAM302609500.U,538.6125,95.0,2026-01-30,,,,PUT
NVDAN202620750.U,38.6179,207.5,2026-02-20,31.95,32.05,33.5,PUT 
NVDAF182618600.U,46.4912,186.0,2026-06-18,16.45,16.55,15.23,CALL
NVDAB202613000.U,71.3167,130.0,2026-02-20,46.0,46.1,44.35,CALL
NVDAA302609500.U,814.6601,95.0,2026-01-30,,,,CALL
NVDAB202614000.U,62.1011,140.0,2026-02-20,36.2,36.35,34.0,CALL
NVDAI182621000.U,45.6269,210.0,2026-09-18,14.85,14.95,14.9,CALL
NVDAB202620750.U,39.7447,207.5,2026-02-20,0.22,0.23,0.23,CALL
NVDAA302607000.U,939.2251,70.0,2026-01-30,,,,CALL
NVDAU182619000.U,45.027,190.0,2026-09-18,31.4,31.6,32.1,PUT 
NVDAM302607000.U,757.4155,70.0,2026-01-30,,,,PUT
NVDAL182619000.U,46.9395,190.0,2026-12-18,27.0,27.15,26.96,CALL
NVDAM152721000.U,44.6449,210.0,2027-01-15,49.3,49.6,50.2,PUT 
NVDAB202611500.U,98.5421,115.0,2026-02-20,60.85,60.95,59.3,CALL
NVDAI182616000.U,48.7024,160.0,2026-09-18,35.7,35.9,35.45,CALL
NVDAR182618000.U,46.2445,180.0,2026-06-18,20.8,20.9,21.17,PUT 
NVDAF182618800.U,46.3848,188.0,2026-06-18,15.6,15.75,15.58,CALL
NVDAH212621000.U,44.9307,210.0,2026-08-21,12.8,12.95,12.72,CALL
NVDAT212616000.U,46.6945,160.0,2026-08-21,14.65,14.75,14.8,PUT 
NVDAF172719000.U,47.8225,190.0,2027-06-17,36.45,36.7,36.17,CALL
NVDAS172621000.U,43.9111,210.0,2026-07-17,41.8,41.95,38.78,PUT 
NVDAB202624000.U,51.2907,240.0,2026-02-20,0.03,0.04,0.03,CALL
NVDAB202611000.U,101.0596,110.0,2026-02-20,65.8,65.95,65.82,CALL
NVDAF182618900.U,46.2755,189.0,2026-06-18,15.25,15.35,14.39,CALL
NVDAB202612000.U,81.9505,120.0,2026-02-20,55.85,56.0,55.92,CALL
NVDAH212618000.U,46.6848,180.0,2026-08-21,23.35,23.5,23.42,CALL
NVDAG172619500.U,45.7085,195.0,2026-07-17,15.0,15.1,14.89,CALL
NVDAB202621500.U,41.6931,215.0,2026-02-20,0.12,0.13,0.13,CALL
NVDAB202612500.U,58.8415,125.0,2026-02-20,50.9,51.05,50.39,CALL
NVDAG172621000.U,44.9391,210.0,2026-07-17,10.6,10.65,10.7,CALL
NVDAA152721000.U,46.4885,210.0,2027-01-15,21.75,21.9,21.95,CALL
NVDAN202611500.U,87.1252,115.0,2026-02-20,0.08,0.09,0.11,PUT 
NVDAR172719000.U,45.6738,190.0,2027-06-17,41.6,41.9,43.5,PUT 
NVDAB202622500.U,45.2441,225.0,2026-02-20,0.06,0.07,0.07,CALL
NVDAR182615000.U,49.4566,150.0,2026-06-18,8.45,8.55,8.42,PUT 
NVDAF182617500.U,47.4338,175.0,2026-06-18,21.4,21.5,21.62,CALL
NVDAL172720000.U,48.2033,200.0,2027-12-17,41.0,41.35,40.71,CALL
NVDAN202610000.U,104.4949,100.0,2026-02-20,0.04,0.05,0.05,PUT 
NVDAF182620000.U,45.6576,200.0,2026-06-18,11.5,11.6,11.55,CALL
NVDAB202621250.U,40.7218,212.5,2026-02-20,0.15,0.16,0.16,CALL
NVDAR182618700.U,45.326,187.0,2026-06-18,24.75,24.9,26.95,PUT 
NVDAX182619000.U,45.258,190.0,2026-12-18,35.35,35.6,36.85,PUT 
NVDAU182621000.U,44.291,210.0,2026-09-18,44.7,44.95,42.0,PUT 
NVDAB202625000.U,53.7026,250.0,2026-02-20,0.01,0.03,0.02,CALL
NVDAO202612000.U,65.6643,120.0,2026-03-20,0.55,0.56,0.56,PUT 
NVDAH212616000.U,48.0865,160.0,2026-08-21,33.75,33.9,32.58,CALL
NVDAN202622500.U,59.531,225.0,2026-02-20,49.35,49.5,44.65,PUT 
NVDAG172618000.U,46.7602,180.0,2026-07-17,20.95,21.05,21.0,CALL
NVDAT212617500.U,45.4119,175.0,2026-08-21,21.4,21.55,21.75,PUT 
NVDAT212621000.U,43.7351,210.0,2026-08-21,43.3,43.5,44.8,PUT 
NVDAL182600050.U,290.1502,0.5,2026-12-18,173.85,175.25,173.7,CALL
NVDAR182618800.U,45.235,188.0,2026-06-18,25.35,25.55,26.4,PUT 
NVDAG172616000.U,48.2321,160.0,2026-07-17,31.55,31.65,30.96,CALL
NVDAN202623000.U,66.7066,230.0,2026-02-20,53.5,55.3,49.65,PUT 
NVDAB202610500.U,105.3982,105.0,2026-02-20,70.8,70.9,70.83,CALL
NVDAS172616000.U,46.9836,160.0,2026-07-17,13.05,13.15,13.2,PUT 
NVDAR182618900.U,45.1984,189.0,2026-06-18,26.0,26.15,27.05,PUT 
NVDAM152718000.U,46.0781,180.0,2027-01-15,30.6,30.85,31.04,PUT 
NVDAF182617800.U,47.3299,178.0,2026-06-18,20.0,20.05,20.0,CALL
NVDAO202613000.U,60.9719,130.0,2026-03-20,0.98,1.0,1.0,PUT 
NVDAO202612500.U,63.2225,125.0,2026-03-20,0.73,0.75,0.76,PUT 
NVDAT212618000.U,45.4457,180.0,2026-08-21,24.0,24.15,24.77,PUT 
NVDAB202610000.U,119.0569,100.0,2026-02-20,75.75,75.9,73.6,CALL
NVDAS172619500.U,44.6123,195.0,2026-07-17,31.25,31.4,31.6,PUT 
NVDAS172620000.U,44.1735,200.0,2026-07-17,34.55,34.75,35.2,PUT 
NVDAA152716500.U,48.3798,165.0,2027-01-15,39.65,39.9,39.76,CALL
NVDAR182617800.U,46.301,178.0,2026-06-18,19.75,19.85,20.0,PUT 
NVDAG172620000.U,45.2827,200.0,2026-07-17,13.35,13.5,13.45,CALL
NVDAC202612000.U,71.7684,120.0,2026-03-20,56.75,56.9,53.95,CALL
NVDAN202621250.U,47.0687,212.5,2026-02-20,36.9,37.05,38.33,PUT 
NVDAU182616000.U,47.1678,160.0,2026-09-18,16.1,16.25,16.32,PUT 
NVDAN202621500.U,43.8611,215.0,2026-02-20,39.35,39.45,42.72,PUT 
NVDAN202610500.U,97.9305,105.0,2026-02-20,0.04,0.06,0.04,PUT 
NVDAM152717500.U,46.0744,175.0,2027-01-15,27.95,28.1,28.96,PUT 
NVDAF182618700.U,46.3809,187.0,2026-06-18,16.05,16.15,15.65,CALL
NVDAO202623000.U,47.0024,230.0,2026-03-20,54.5,54.7,56.63,PUT 
NVDAN202609000.U,116.6493,90.0,2026-02-20,0.02,0.03,0.03,PUT 
NVDAS172618000.U,45.6144,180.0,2026-07-17,22.25,22.4,23.02,PUT 
NVDAM152717000.U,46.2297,170.0,2027-01-15,25.4,25.6,25.81,PUT 
NVDAI182618000.U,47.3566,180.0,2026-09-18,25.55,25.7,25.6,CALL
NVDAN202611000.U,92.3997,110.0,2026-02-20,0.06,0.07,0.06,PUT 
NVDAC202613500.U,67.5238,135.0,2026-03-20,42.55,42.75,41.08,CALL
NVDAF182600050.U,610.4217,0.5,2026-06-18,175.0,175.2,174.49,CALL
NVDAN202608000.U,130.4344,80.0,2026-02-20,0.01,0.03,0.02,PUT 
NVDAR182614500.U,49.9224,145.0,2026-06-18,7.1,7.2,7.48,PUT 
NVDAU182618000.U,45.9698,180.0,2026-09-18,25.6,25.8,26.4,PUT 
NVDAM152716500.U,46.5215,165.0,2027-01-15,23.0,23.15,24.07,PUT 
NVDAA152717000.U,48.0604,170.0,2027-01-15,37.15,37.4,37.25,CALL
NVDAB202623500.U,48.9732,235.0,2026-02-20,0.04,0.05,0.05,CALL
NVDAB202626000.U,58.9035,260.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAC202614000.U,59.2787,140.0,2026-03-20,38.1,38.2,38.35,CALL
NVDAC202611500.U,71.5377,115.0,2026-03-20,61.55,61.75,58.95,CALL
NVDAF172721000.U,47.6144,210.0,2027-06-17,29.65,29.9,29.65,CALL
NVDAR172721000.U,45.3754,210.0,2027-06-17,54.35,54.75,52.18,PUT 
NVDAO202611500.U,67.9192,115.0,2026-03-20,0.41,0.43,0.51,PUT 
NVDAA212819000.U,48.6143,190.0,2028-01-21,45.8,46.25,45.45,CALL
NVDAN202623500.U,71.0676,235.0,2026-02-20,58.5,60.3,54.65,PUT 
NVDAB202605500.U,209.4713,55.0,2026-02-20,120.6,120.75,125.5,CALL
NVDAI182620000.U,46.4108,200.0,2026-09-18,17.85,17.95,17.7,CALL
NVDAB202609500.U,131.7026,95.0,2026-02-20,80.75,80.9,78.72,CALL
NVDAR182617300.U,46.4852,173.0,2026-06-18,17.25,17.35,18.47,PUT 
NVDAR182617500.U,46.3448,175.0,2026-06-18,18.2,18.35,18.4,PUT 
NVDAH212619500.U,45.6224,195.0,2026-08-21,17.4,17.55,17.3,CALL
NVDAM152719500.U,45.0834,195.0,2027-01-15,39.4,39.7,40.78,PUT 
NVDAN202609500.U,109.1524,95.0,2026-02-20,0.03,0.04,0.04,PUT 
NVDAB202607000.U,178.8333,70.0,2026-02-20,105.65,105.8,104.28,CALL
NVDAL182618000.U,47.8042,180.0,2026-12-18,31.1,31.25,30.92,CALL
NVDAT212616500.U,46.4017,165.0,2026-08-21,16.7,16.85,17.7,PUT 
NVDAU182616500.U,46.7442,165.0,2026-09-18,18.25,18.4,18.97,PUT 
NVDAI182619500.U,46.2995,195.0,2026-09-18,19.55,19.7,19.35,CALL
NVDAR182614000.U,51.0037,140.0,2026-06-18,5.9,6.0,6.3,PUT 
NVDAA152719500.U,46.8437,195.0,2027-01-15,26.65,26.85,26.75,CALL
NVDAT212619500.U,44.5107,195.0,2026-08-21,32.95,33.1,34.05,PUT 
NVDAB202609000.U,140.5592,90.0,2026-02-20,85.75,85.85,84.45,CALL
NVDAC202612500.U,60.5744,125.0,2026-03-20,51.9,52.1,49.84,CALL
NVDAL182618500.U,47.2552,185.0,2026-12-18,28.95,29.1,28.36,CALL
NVDAG172616500.U,48.0791,165.0,2026-07-17,28.6,28.75,28.26,CALL
NVDAC202613000.U,60.8005,130.0,2026-03-20,47.2,47.4,46.53,CALL
NVDAN202607000.U,141.9819,70.0,2026-02-20,0.0,0.02,0.02,PUT 
NVDAS172617000.U,46.0856,170.0,2026-07-17,17.25,17.4,17.86,PUT 
NVDAL152821000.U,47.8895,210.0,2028-12-15,50.25,50.8,50.18,CALL
NVDAR182607000.U,74.5904,70.0,2026-06-18,0.3,0.32,0.33,PUT 
NVDAA152717500.U,47.8679,175.0,2027-01-15,34.8,35.05,34.9,CALL
NVDAS172616500.U,46.8725,165.0,2026-07-17,15.1,15.15,15.1,PUT 
NVDAB202627000.U,59.9171,270.0,2026-02-20,0.0,0.02,0.01,CALL
NVDAM152710000.U,53.6663,100.0,2027-01-15,3.95,4.05,4.0,PUT 
NVDAO202610500.U,73.7852,105.0,2026-03-20,0.24,0.25,0.25,PUT 
NVDAF182617300.U,47.5644,173.0,2026-06-18,22.4,22.55,22.45,CALL
NVDAH212620000.U,45.5765,200.0,2026-08-21,15.7,15.85,15.62,CALL
NVDAL182618300.U,47.4929,183.0,2026-12-18,29.8,29.95,28.35,CALL
NVDAM152720000.U,45.051,200.0,2027-01-15,42.6,42.85,44.2,PUT 
NVDAN202606000.U,163.5424,60.0,2026-02-20,0.0,0.02,0.02,PUT 
NVDAG172622000.U,44.6351,220.0,2026-07-17,8.35,8.4,8.25,CALL
NVDAF182617900.U,47.2958,179.0,2026-06-18,19.45,19.6,18.95,CALL
NVDAM152718500.U,45.5885,185.0,2027-01-15,33.4,33.65,34.73,PUT 
NVDAO202609000.U,84.2619,90.0,2026-03-20,0.11,0.12,0.15,PUT 
NVDAT212620000.U,44.279,200.0,2026-08-21,36.25,36.45,37.6,PUT 
NVDAA152722000.U,46.1339,220.0,2027-01-15,18.95,19.1,19.0,CALL
NVDAS172617500.U,45.635,175.0,2026-07-17,19.65,19.8,20.0,PUT 
NVDAB202607500.U,197.6984,75.0,2026-02-20,100.7,100.85,105.45,CALL
NVDAS172618500.U,44.9193,185.0,2026-07-17,25.05,25.2,25.0,PUT 
NVDAL152819000.U,48.3715,190.0,2028-12-15,56.65,57.1,56.85,CALL
NVDAX182618600.U,45.5103,186.0,2026-12-18,32.95,33.2,32.53,PUT 
NVDAX172716000.U,47.1423,160.0,2027-12-17,30.4,30.7,31.35,PUT 
NVDAN202626000.U,74.3924,260.0,2026-02-20,83.55,85.3,79.68,PUT 
NVDAC202609500.U,87.1406,95.0,2026-03-20,81.15,81.35,79.2,CALL
NVDAG172617500.U,46.6948,175.0,2026-07-17,23.3,23.45,23.5,CALL
NVDAM212819000.U,46.0232,190.0,2028-01-21,47.4,47.75,48.7,PUT 
NVDAR172716000.U,46.9674,160.0,2027-06-17,25.65,25.85,26.3,PUT 
NVDAT212617000.U,45.7574,170.0,2026-08-21,18.95,19.1,19.09,PUT 
NVDAC202611000.U,62.0478,110.0,2026-03-20,66.4,66.6,65.51,CALL
NVDAH212617500.U,46.6834,175.0,2026-08-21,25.7,25.85,25.55,CALL
NVDAF172718000.U,48.5721,180.0,2027-06-17,40.4,40.65,40.2,CALL
NVDAX182618500.U,45.5953,185.0,2026-12-18,32.4,32.65,33.8,PUT 
NVDAF182619100.U,46.1717,191.0,2026-06-18,14.5,14.6,13.75,CALL
NVDAF182621000.U,45.5313,210.0,2026-06-18,8.8,8.9,8.93,CALL
NVDAF182622000.U,44.9806,220.0,2026-06-18,6.7,6.8,6.7,CALL
NVDAF172716000.U,49.1992,160.0,2027-06-17,49.5,49.75,49.25,CALL
NVDAO202607000.U,102.4372,70.0,2026-03-20,0.04,0.05,0.06,PUT 
NVDAN202606500.U,146.9544,65.0,2026-02-20,0.0,0.01,0.01,PUT 
NVDAU182617000.U,46.2017,170.0,2026-09-18,20.55,20.7,20.63,PUT 
NVDAC202610500.U,79.8634,105.0,2026-03-20,71.35,71.55,70.8,CALL
NVDAN202607500.U,141.3106,75.0,2026-02-20,0.01,0.03,0.02,PUT 
NVDAG172618500.U,46.0114,185.0,2026-07-17,18.8,18.9,18.9,CALL
NVDAS172622000.U,43.4591,220.0,2026-07-17,49.6,49.8,46.25,PUT 
NVDAR182617900.U,46.2781,179.0,2026-06-18,20.25,20.4,20.65,PUT 
NVDAL172716000.U,49.7138,160.0,2027-12-17,56.9,57.35,57.1,CALL
